decimalLatitude,decimalLongitude,scientificName,iucnRedListCategory
15.83225,74.50717,Tectona grandis L.f.,EN
21.58087,73.06076,Azadirachta indica A.Juss.,LC
11.63487,75.59104,Ficus racemosa L.,LC
15.39215,73.87763,Cassia fistula L.,LC
9.12402,76.54449,Borassus flabellifer L.,LC
8.78793,76.75834,Delonix regia (Bojer ex Hook.) Raf.,LC
11.94154,79.80631,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
21.58273,73.05839,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
10.85445,76.52433,Tectona grandis L.f.,EN
11.00592,76.0181,Tamarindus indica L.,LC
9.00894,76.78633,Psidium guajava L.,LC
8.34321,77.05285,Tamarindus indica L.,LC
8.60582,76.85663,Ficus religiosa L.,LC
9.18946,76.60531,Tectona grandis L.f.,EN
9.39723,76.57814,Terminalia catappa L.,LC
10.81853,76.67283,Azadirachta indica A.Juss.,LC
8.60802,77.00463,Cassia fistula L.,LC
8.44319,77.04529,Prunus domestica L.,DD
9.20914,76.8546,Mangifera indica L.,DD
8.33698,77.04637,Tamarindus indica L.,LC
8.34321,77.05285,Syzygium cumini (L.) Skeels,LC
9.16612,76.60198,Nyctanthes arbor-tristis L.,LC
8.63445,76.93665,Tectona grandis L.f.,EN
26.77922,73.29848,Mangifera indica L.,DD
13.0679,77.5785,Azadirachta indica A.Juss.,LC
9.18554,76.77162,Mangifera indica L.,DD
25.24063,73.45485,Bauhinia purpurea L.,LC
9.98534,76.77693,Tamarindus indica L.,LC
28.54012,77.25517,Mangifera indica L.,DD
11.82142,75.42914,Tectona grandis L.f.,EN
9.38527,76.57499,Tectona grandis L.f.,EN
19.26335,72.86662,Mangifera indica L.,DD
8.53588,77.09674,Delonix regia (Bojer ex Hook.) Raf.,LC
10.3293,76.24655,Syzygium cumini (L.) Skeels,LC
23.25994,77.41261,Azadirachta indica A.Juss.,LC
8.34321,77.05285,Mangifera indica L.,DD
9.38527,76.57499,Delonix regia (Bojer ex Hook.) Raf.,LC
11.3059,75.9683,Cassia fistula L.,LC
22.08561,80.37915,Mangifera indica L.,DD
8.34321,77.05285,Mimusops elengi L.,LC
13.06876,77.56095,Tabebuia rosea (Bertol.) Bertero ex A.DC.,LC
28.50887,77.41345,Tabebuia rosea (Bertol.) Bertero ex A.DC.,LC
8.53588,77.09674,Delonix regia (Bojer ex Hook.) Raf.,LC
13.07631,77.5735,Albizia lebbeck (L.) Benth.,LC
9.38458,76.59293,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
11.00291,76.37675,Phyllanthus emblica L.,LC
8.41865,77.08379,Terminalia catappa L.,LC
9.98642,76.79822,Azadirachta indica A.Juss.,LC
10.10217,76.35618,Mangifera indica L.,DD
8.34321,77.05285,Mimusops elengi L.,LC
9.98534,76.77693,Albizia amara (Roxb.) Boivin,LC
9.0242,76.69724,Albizia lebbeck (L.) Benth.,LC
25.24063,73.45485,Mangifera indica L.,DD
10.81894,76.67349,Tamarindus indica L.,LC
8.97512,77.2491,Moringa oleifera Lam.,LC
21.58087,73.06076,Mangifera indica L.,DD
8.53588,77.09674,Mangifera indica L.,DD
10.81853,76.67281,Mangifera indica L.,DD
8.59624,77.05357,Terminalia catappa L.,LC
12.10065,75.23088,Cassia fistula L.,LC
9.3852,76.5848,Spathodea campanulata Beauverd,LC
10.11831,76.38543,Mangifera indica L.,DD
12.76143,76.05582,Azadirachta indica A.Juss.,LC
8.3317,77.05426,Nerium oleander L.,LC
9.98534,76.77693,Murraya koenigii (L.) Spreng.,LC
9.20001,76.87978,Toona ciliata M.Roem.,LC
8.36,77.05357,Mangifera indica L.,DD
12.91727,77.59139,Pongamia pinnata (L.) Pierre,LC
22.50076,80.46881,Ficus religiosa L.,LC
8.34028,77.05463,Annona squamosa L.,LC
8.73787,76.71634,Lawsonia inermis L.,LC
11.56034,75.75465,Cassia fistula L.,LC
9.38373,76.58996,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
9.25272,76.4316,Mangifera indica L.,DD
