decimalLatitude,decimalLongitude,scientificName,iucnRedListCategory
18.400719,73.377068,Terminalia paniculata B.Heyne ex Roth,LC
27.811535,74.43454,"Milvus migrans (Boddaert, 1783)",LC
19.136319,73.19815,"Brachythemis contaminata (Fabricius, 1793)",LC
18.9568,72.8046,"Danaus chrysippus (Linnaeus, 1758)",LC
8.803958,76.701182,"Anastomus oscitans (Boddaert, 1783)",LC
9.570541,76.494125,Pistia stratiotes L.,LC
24.43202,92.330688,"Zyxomma petiolatum Rambur, 1842",LC
13.575214,75.106908,"Pedostibes tuberculosus Günther, 1876",LC
30.570501,78.004555,"Zosterops palpebrosus (Temminck, 1824)",LC
12.658055,75.686668,Nothopegia travancorica Bedd. ex Hook.fil.,VU
14.61473,74.657538,"Pedostibes tuberculosus Günther, 1876",LC
9.924155,76.76931,"Ptyas mucosa (Linnaeus, 1758)",LC
26.985363,94.305954,Eclipta prostrata (L.) L.,LC
15.368606,73.944799,"Echis carinatus (Schneider, 1801)",LC
12.363329,75.287857,"Dinopium benghalense (Linnaeus, 1758)",LC
11.542457,76.027223,"Rhyothemis triangularis Kirby, 1889",LC
28.297127,74.953537,"Cursorius cursor (Latham, 1787)",LC
16.666363,73.459267,Morinda citrifolia L.,LC
11.844452,78.673058,Wrightia tinctoria R.Br.,LC
14.354177,75.798646,"Pantala flavescens (Fabricius, 1798)",LC
9.924107,76.769287,"Oriolus xanthornus (Linnaeus, 1758)",LC
18.235264,73.580639,"Turdoides striata (Dumont, 1823)",LC
19.147215,72.875618,"Eudynamys scolopaceus (Linnaeus, 1758)",LC
26.407738,90.265144,Azadirachta indica A.Juss.,LC
25.2037,75.7928,Cassia fistula L.,LC
12.4715,78.1886,"Halcyon smyrnensis (Linnaeus, 1758)",LC
26.652849,92.792557,"Bubulcus ibis (Linnaeus, 1758)",LC
18.995218,73.258842,"Zizula hylax (Fabricius, 1775)",LC
25.2036,75.8123,Pongamia pinnata (L.) Pierre,LC
12.948431,77.586296,"Ardea purpurea Linnaeus, 1766",LC
22.70463,88.339918,"Brachydiplax chalybea Brauer, 1868",LC
17.330442,78.391655,"Ceryle rudis (Linnaeus, 1758)",LC
9.00785,76.541168,Sterculia foetida L.,LC
19.922037,75.318672,"Circaetus gallicus (Gmelin, 1788)",LC
12.326318,77.800369,"Athene brama (Temminck, 1821)",LC
22.58461,88.416163,Hibiscus rosa-sinensis L.,CR
13.502664,75.090315,"Ophiophagus hannah (Cantor, 1836)",VU
20.1889,85.4321,"Pycnonotus cafer (Linnaeus, 1766)",LC
8.841749,76.684586,Adenanthera pavonina L.,LC
19.0526,72.863,"Vanessa cardui (Linnaeus, 1758)",LC
28.915473,79.513269,"Pantala flavescens (Fabricius, 1798)",LC
19.138439,72.812187,"Eudynamys scolopaceus (Linnaeus, 1758)",LC
14.3555,75.7408,Ficus drupacea Thunb.,LC
26.116911,91.655334,"Motacilla alba Linnaeus, 1758",LC
22.624047,75.625127,"Phalanta phalantha (Drury, 1773)",LC
14.464409,75.921758,"Danaus chrysippus (Linnaeus, 1758)",LC
15.180419,74.610763,"Semnopithecus entellus (Dufresne, 1797)",LC
27.5758,95.3281,Gmelina arborea Roxb. ex Sm.,LC
25.2275,75.846,"Belenois aurota (Fabricius, 1793)",LC
26.219778,94.476898,Solanum viarum Dunal,LC
28.11786,95.822591,"Amolops viridimaculatus (Jiang, 1983)",LC
12.721851,77.569107,"Ptyas mucosa (Linnaeus, 1758)",LC
21.196673,80.014366,"Euploea core (Cramer, 1780)",LC
18.281786,74.792152,"Phoenicopterus roseus Pallas, 1811",LC
23.200277,86.126732,"Junonia orithya Linnaeus, 1758",LC
25.2394,75.8336,"Orthetrum sabina (Drury, 1773)",LC
13.502664,75.090315,"Nephila pilipes (Fabricius, 1793)",LC
12.971599,77.594566,Terminalia catappa L.,LC
12.339282,76.634051,"Motacilla maderaspatensis Gmelin, 1789",LC
21.234449,78.912019,"Boiga westermanni (Reinhardt, 1863)",LC
8.777258,76.952062,"Psammophilus dorsalis (Gray, 1831)",LC
9.923796,76.769485,"Ceriagrion coromandelianum (Fabricius, 1798)",LC
19.847981,73.988965,"Monticola solitarius (Linnaeus, 1758)",LC
26.659422,91.001129,"Axis porcinus (Zimmermann, 1780)",EN
8.666576,77.171333,Acronychia pedunculata (L.) Miq.,LC
18.995218,73.258842,"Phalanta phalantha (Drury, 1773)",LC
25.204024,75.859241,"Pavo cristatus Linnaeus, 1758",LC
12.919994,77.641312,"Crocothemis servilia (Drury, 1773)",LC
8.565403,77.016144,"Ardeola grayii (Sykes, 1832)",LC
19.018236,73.279388,"Phalanta phalantha (Drury, 1773)",LC
22.75782,77.739601,"Eremopterix griseus (Scopoli, 1786)",LC
14.334473,75.736099,"Ceryle rudis (Linnaeus, 1758)",LC
18.986601,73.267899,"Phalanta phalantha (Drury, 1773)",LC
13.236052,92.967033,"Coryphophylax subcristatus (Blyth, 1860)",LC
11.936618,79.83461,Tecoma stans (L.) Juss. ex Kunth,LC
18.609982,72.915565,Spondias pinnata (L.fil.) Kurz,LC
18.098978,78.28714,"Butastur teesa (Franklin, 1831)",LC
12.863075,77.437836,Ficus benjamina L.,LC
26.525282,92.993805,"Alcedo atthis (Linnaeus, 1758)",LC
16.56143,73.859549,"Melanitis leda Linnaeus, 1758",LC
15.139393,76.92144,"Naja naja (Linnaeus, 1758)",LC
10.707165,77.605576,"Brachythemis contaminata (Fabricius, 1793)",LC
16.678787,74.266205,"Pycnonotus cafer (Linnaeus, 1766)",LC
22.88976,88.334862,"Junonia almana (Linnaeus, 1758)",LC
13.689496,75.244989,"Craspedocephalus malabaricus (Jerdon, 1854)",LC
13.010279,74.921224,"Pericrocotus flammeus (J.R.Forster, 1781)",LC
25.2002,75.8042,"Junonia almana (Linnaeus, 1758)",LC
26.055857,91.601944,"Junonia almana (Linnaeus, 1758)",LC
11.601311,76.187149,"Lanius cristatus Linnaeus, 1758",LC
10.97227,76.154471,Amorphophallus paeoniifolius (Dennst.) Nicolson,LC
26.709171,91.194427,"Copsychus saularis (Linnaeus, 1758)",LC
13.227,75.1395,"Nyctibatrachus kempholeyensis (Rao, 1937)",LC
12.991087,77.592026,Lagerstroemia speciosa (L.) Pers.,LC
22.5422,88.3424,Lagerstroemia speciosa (L.) Pers.,LC
26.021395,92.895126,"Libellago lineata (Burmeister, 1839)",LC
16.66869,73.506638,Heterophragma quadriloculare (Roxb.) K.Schum.,LC
8.986062,76.848242,Mangifera indica L.,DD
23.811352,91.303551,"Agriocnemis lacteola Selys, 1877",LC
18.962999,73.262711,"Zizina otis (Fabricius, 1787)",LC
14.33119,75.747772,"Metopidius indicus (Latham, 1790)",LC
10.312354,76.257248,"Vestalis apicalis Selys, 1873",LC
8.552787,76.976007,"Accipiter badius (Gmelin, 1788)",LC
14.617465,74.765893,"Irena puella (Latham, 1790)",LC
25.2327,75.8382,Casuarina equisetifolia L.,LC
24.352674,92.344815,"Troides helena (Linnaeus, 1758)",LC
10.982778,76.735832,"Aegithina tiphia (Linnaeus, 1758)",LC
11.30291,76.58046,"Raorchestes signatus (Boulenger, 1882)",EN
19.61853,73.003921,"Carcharhinus leucas (Müller & Henle, 1839)",VU
12.939735,75.785774,"Idea malabarica (Moore, 1877)",NT
18.791562,72.91418,"Numenius arquata (Linnaeus, 1758)",NT
9.620124,76.551767,"Aethriamanta brevipennis (Rambur, 1842)",LC
22.724756,88.478935,"Crocothemis servilia (Drury, 1773)",LC
22.016617,79.829674,"Orthetrum pruinosum (Burmeister, 1839)",LC
13.374,77.1403,"Duttaphrynus melanostictus (Schneider, 1799)",LC
21.392862,79.326843,"Centropus sinensis (Stephens, 1815)",LC
